a,a,a,e,e,e,i,i,i,o,o,o,u,u,u
14.386312484741211,21.885574340820312,-40.84280014038086,-41.20471954345703,11.253347396850586,28.533714294433594,22.984905242919922,-95.8947982788086,-17.774133682250977,-70.81798553466797,4.599458694458008,-11.185996055603027,-7.499427795410156,-82.44291687011719,-42.63031005859375
37.394412994384766,21.198169708251953,54.93009948730469,35.26731491088867,40.483551025390625,11.961966514587402,18.455026626586914,61.210304260253906,26.584606170654297,58.65315246582031,33.598899841308594,61.056724548339844,38.513397216796875,85.09304809570312,65.70684051513672
-29.9251651763916,-32.63977813720703,-38.19533157348633,-8.158834457397461,-41.18413543701172,-21.437917709350586,-2.3660178184509277,6.929159164428711,0.0920315533876419,-19.211666107177734,-15.418373107910156,-33.214561462402344,11.558296203613281,6.411792278289795,7.560842514038086
-25.31147003173828,-14.279882431030273,2.4541444778442383,0.6092722415924072,7.893251895904541,-4.006222248077393,10.662040710449219,9.728653907775879,18.449459075927734,-7.305036544799805,-20.021678924560547,-18.24532127380371,-15.530827522277832,-7.215944766998291,-5.00181770324707
0.37856245040893555,-12.753463745117188,-8.31096363067627,-20.860305786132812,-13.099945068359375,-12.615436553955078,-8.926738739013672,-24.526762008666992,-16.371864318847656,-20.07314682006836,-26.578445434570312,-20.124956130981445,-29.952957153320312,-17.803939819335938,-26.39114761352539
6.560269832611084,14.901668548583984,7.331792831420898,0.42035627365112305,-7.2342143058776855,-2.3666059970855713,-16.268861770629883,0.015439033508300781,-10.56212043762207,14.860871315002441,11.60422420501709,-0.24303913116455078,-14.451963424682617,-9.242531776428223,-11.437152862548828
-0.47173452377319336,-6.00758171081543,-2.187385320663452,-5.6146016120910645,-0.7162094116210938,-10.10619068145752,-11.706031799316406,-11.701732635498047,-7.278386116027832,-0.8573579788208008,5.13987922668457,11.534053802490234,0.5517640113830566,-6.464517116546631,2.015460968017578
4.032391548156738,4.1038007736206055,0.887683629989624,11.707330703735352,6.217460632324219,9.633991241455078,-1.891874074935913,-3.2938852310180664,-4.725276947021484,-2.943965435028076,5.794145584106445,3.5161728858947754,-2.180655002593994,-3.44777774810791,-6.744998455047607
-2.0645406246185303,0.22036445140838623,-2.218275785446167,-6.184120178222656,5.304986953735352,3.8858752250671387,-3.2583608627319336,-3.288996696472168,-2.3253116607666016,-5.4151482582092285,-5.210602760314941,-0.8033614158630371,-0.8271738290786743,-0.08047032356262207,4.309631824493408
4.738483428955078,1.1453869342803955,1.4340482950210571,2.7464170455932617,-1.8498632907867432,1.3238847255706787,-0.6720842719078064,1.0235413312911987,-1.8379307985305786,0.6578750014305115,1.8647381067276,-1.3397974967956543,-4.103954315185547,-1.012351155281067,-3.5699586868286133
-7.41373872756958,-4.930605888366699,-7.199680328369141,-7.383930206298828,-4.173369407653809,-6.014596939086914,-1.7138972282409668,-3.003960609436035,-2.1037771701812744,-8.766493797302246,-4.723311424255371,-4.395915508270264,-4.885770797729492,-3.941525936126709,-2.2631125450134277
0.9812473058700562,-0.0021501779556274414,-0.9508193731307983,-0.5664275884628296,-4.999509334564209,3.286212682723999,5.65015983581543,-7.626134872436523,3.499680995941162,1.6960301399230957,6.566915988922119,1.653684139251709,3.9339816570281982,0.23163914680480957,1.8875776529312134
-6.773227691650391,-7.993595600128174,-3.478527545928955,-5.098539352416992,-1.889291763305664,-4.979405403137207,-3.4908602237701416,-1.5719101428985596,-4.050662040710449,-5.132779121398926,-7.747692584991455,-6.01841926574707,-5.771932601928711,0.6606216430664062,-3.0401062965393066
